,step,type,amount,oldbalanceOrig,oldbalanceDest,isFraud,trans_frequency_Dest,avg_trans_amount_Dest,variability_trans_amount_Dest,big_trans_flag,zero_new_balance_Dest_flag,zero_new_balance_Orig_flag
0,1,PAYMENT,9839.64,170136,0,0,1,9839.64,0,0,1,0
1,1,PAYMENT,1864.28,21249,0,0,1,1864.28,0,0,1,0
2,1,TRANSFER,181,181,0,1,44,225517.832,252655.7576,0,1,1
3,1,CASH_OUT,181,181,21182,1,41,439444.208,878990.4842,0,1,1
4,1,PAYMENT,11668.14,41554,0,0,1,11668.14,0,0,1,0
5,1,PAYMENT,7817.71,53860,0,0,1,7817.71,0,0,1,0
6,1,PAYMENT,7107.77,183195,0,0,1,7107.77,0,0,1,0
7,1,PAYMENT,7861.64,176087.23,0,0,1,7861.64,0,0,1,0
8,1,PAYMENT,4024.36,2671,0,0,1,4024.36,0,0,1,1
9,1,DEBIT,5337.77,41720,41898,0,34,178319.2053,205652.7266,0,0,0
10,1,DEBIT,9644.94,4465,10845,0,59,233680.0093,237196.9777,0,0,1
11,1,PAYMENT,3099.97,20771,0,0,1,3099.97,0,0,1,0
12,1,PAYMENT,2560.74,5070,0,0,1,2560.74,0,0,1,0
13,1,PAYMENT,11633.76,10127,0,0,1,11633.76,0,0,1,1
14,1,PAYMENT,4098.78,503264,0,0,1,4098.78,0,0,1,0
15,1,CASH_OUT,229133.94,15325,5083,0,41,233110.4717,252905.6661,0,0,1
16,1,PAYMENT,1563.82,450,0,0,1,1563.82,0,0,1,1
17,1,PAYMENT,1157.86,21156,0,0,1,1157.86,0,0,1,0
18,1,PAYMENT,671.64,15123,0,0,1,671.64,0,0,1,0
19,1,TRANSFER,215310.3,705,22425,0,47,169388.3204,152974.6957,0,1,1
20,1,PAYMENT,1373.43,13854,0,0,1,1373.43,0,0,1,0
21,1,DEBIT,9302.79,11299,29832,0,46,506518.7222,1025635.629,0,0,0
22,1,DEBIT,1065.41,1817,10330,0,68,346339.6943,402354.5094,0,1,0
23,1,PAYMENT,3876.41,67852,0,0,1,3876.41,0,0,1,0
24,1,TRANSFER,311685.89,10835,6267,0,82,355907.7293,452988.8023,0,0,1
25,1,PAYMENT,6061.13,443,0,0,1,6061.13,0,0,1,1
26,1,PAYMENT,9478.39,116494,0,0,1,9478.39,0,0,1,0
27,1,PAYMENT,8009.09,10968,0,0,1,8009.09,0,0,1,0
28,1,PAYMENT,8901.99,2958.91,0,0,1,8901.99,0,0,1,1
29,1,PAYMENT,9920.52,0,0,0,1,9920.52,0,0,1,1
30,1,PAYMENT,3448.92,0,0,0,1,3448.92,0,0,1,1
31,1,PAYMENT,4206.84,0,0,0,1,4206.84,0,0,1,1
32,1,PAYMENT,5885.56,0,0,0,1,5885.56,0,0,1,1
33,1,PAYMENT,5307.88,0,0,0,1,5307.88,0,0,1,1
34,1,PAYMENT,5031.22,0,0,0,1,5031.22,0,0,1,1
35,1,PAYMENT,24213.67,0,0,0,1,24213.67,0,0,1,1
36,1,PAYMENT,8603.42,253,0,0,1,8603.42,0,0,1,1
37,1,PAYMENT,2791.42,300481,0,0,1,2791.42,0,0,1,0
38,1,PAYMENT,7413.54,297689.58,0,0,1,7413.54,0,0,1,0
39,1,PAYMENT,3295.19,233633,0,0,1,3295.19,0,0,1,0
40,1,PAYMENT,1684.81,297,0,0,1,1684.81,0,0,1,1
41,1,DEBIT,5758.59,32604,209699,0,76,554932.4876,1676888.938,0,0,0
42,1,CASH_OUT,110414.71,26845.41,288800,0,45,201649.5204,211996.9016,0,0,1
43,1,PAYMENT,7823.46,998,0,0,1,7823.46,0,0,1,1
44,1,PAYMENT,5086.48,0,0,0,1,5086.48,0,0,1,1
45,1,PAYMENT,5281.48,152019,0,0,1,5281.48,0,0,1,0
46,1,PAYMENT,13875.98,15818,0,0,1,13875.98,0,0,1,0
47,1,CASH_OUT,56953.9,1942.02,70253,0,50,219113.4826,201124.939,0,0,1
48,1,CASH_OUT,5346.89,0,652637,0,101,402773.8712,520707.7175,0,0,1
49,1,PAYMENT,2204.04,586,0,0,1,2204.04,0,0,1,1
50,1,PAYMENT,2641.47,23053,0,0,1,2641.47,0,0,1,0
51,1,CASH_OUT,23261.3,20411.53,25742,0,49,494833.9433,1258353.51,0,1,1
52,1,PAYMENT,2330.64,203543,0,0,1,2330.64,0,0,1,0
53,1,PAYMENT,1614.64,41276,0,0,1,1614.64,0,0,1,0
54,1,PAYMENT,9164.71,47235.77,0,0,1,9164.71,0,0,1,0
55,1,PAYMENT,2970.97,38071.06,0,0,1,2970.97,0,0,1,0
56,1,PAYMENT,38.66,16174,0,0,1,38.66,0,0,1,0
57,1,PAYMENT,2252.44,1627,0,0,1,2252.44,0,0,1,1
58,1,TRANSFER,62610.8,79114,517,0,53,281338.0453,384076.1251,0,0,0
59,1,DEBIT,5529.13,8547,10206,0,31,245364.7645,288429.6064,0,1,0
60,1,CASH_OUT,82940.31,3017.87,132372,0,60,334454.2048,450639.0382,0,0,1
61,1,DEBIT,4510.22,10256,10697,0,70,261946.2451,340904.8929,0,1,0
62,1,DEBIT,8727.74,882770,12636,0,52,464104.4594,808760.9471,0,1,0
63,1,PAYMENT,2599.46,874042.26,0,0,1,2599.46,0,0,1,0
64,1,DEBIT,4874.49,153,253104,0,19,165502.3789,125039.8599,0,1,1
65,1,PAYMENT,6440.78,2192,0,0,1,6440.78,0,0,1,1
66,1,PAYMENT,4910.14,41551,0,0,1,4910.14,0,0,1,0
67,1,PAYMENT,6444.64,12019,0,0,1,6444.64,0,0,1,0
68,1,DEBIT,5149.66,4782,52752,0,38,271245.68,482151.5573,0,0,1
69,1,PAYMENT,7292.16,216827,0,0,1,7292.16,0,0,1,0
70,1,CASH_OUT,47458.86,209534.84,52120,0,60,575221.8208,1612411.044,0,1,0
71,1,CASH_OUT,136872.92,162075.98,217806,0,37,229235.8538,156470.1014,0,1,0
72,1,CASH_OUT,94253.33,25203.05,99773,0,96,277053.1357,436932.8358,0,0,1
73,1,PAYMENT,2998.04,12030,0,0,1,2998.04,0,0,1,0
74,1,PAYMENT,3454.08,9031.96,0,0,1,3454.08,0,0,1,0
75,1,PAYMENT,4316.2,10999,0,0,1,4316.2,0,0,1,0
76,1,PAYMENT,2131.84,224,0,0,1,2131.84,0,0,1,1
77,1,PAYMENT,12986.61,23350,0,0,1,12986.61,0,0,1,0
78,1,TRANSFER,42712.39,10363.39,57901.66,0,38,271245.68,482151.5573,0,0,1
79,1,TRANSFER,77957.68,0,94900,0,45,295164.0198,357554.2703,0,0,1
80,1,TRANSFER,17231.46,0,24672,0,46,215256.2241,254763.4861,0,1,1
81,1,TRANSFER,78766.03,0,103772,0,52,252535.0929,394498.6304,0,0,1
82,1,TRANSFER,224606.64,0,354678.92,0,37,229235.8538,156470.1014,0,1,1
83,1,TRANSFER,125872.53,0,348512,0,95,318117.8245,525756.1287,0,0,1
84,1,TRANSFER,379856.23,0,900180,0,101,427783.1841,546776.4605,1,0,1
85,1,TRANSFER,1505626.01,0,29031,0,105,845232.2322,2975834.548,1,0,1
86,1,TRANSFER,554026.99,0,579285.56,0,37,229235.8538,156470.1014,1,1,1
87,1,TRANSFER,147543.1,0,223220,0,39,278445.651,371083.7578,0,0,1
88,1,TRANSFER,761507.39,0,1280036.23,0,101,427783.1841,546776.4605,1,0,1
89,1,TRANSFER,1429051.47,0,2041543.62,0,101,427783.1841,546776.4605,1,0,1
90,1,TRANSFER,358831.92,0,474384.53,0,95,318117.8245,525756.1287,0,0,1
91,1,TRANSFER,367768.4,0,370763.1,0,39,278445.651,371083.7578,1,0,1
92,1,TRANSFER,209711.11,0,399214.71,0,45,201649.5204,211996.9016,0,0,1
93,1,TRANSFER,583848.46,0,667778,0,113,685211.8877,2616135.304,1,0,1
94,1,TRANSFER,1724887.05,0,3470595.1,0,101,427783.1841,546776.4605,1,0,1
95,1,TRANSFER,710544.77,0,738531.5,0,39,278445.651,371083.7578,1,0,1
96,1,TRANSFER,581294.26,0,5195482.15,0,101,427783.1841,546776.4605,1,0,1
97,1,TRANSFER,11996.58,0,40255,0,53,344946.1421,461468.6261,0,1,1
98,1,PAYMENT,2875.1,15443,0,0,1,2875.1,0,0,1,0
99,1,PAYMENT,8586.98,3763,0,0,1,8586.98,0,0,1,1
100,1,PAYMENT,871.75,19869,0,0,1,871.75,0,0,1,0
101,1,PAYMENT,1035.36,71636,0,0,1,1035.36,0,0,1,0
102,1,PAYMENT,1063.53,83084,0,0,1,1063.53,0,0,1,0
103,1,PAYMENT,1019.9,204237,0,0,1,1019.9,0,0,1,0
104,1,PAYMENT,4059.38,26304,0,0,1,4059.38,0,0,1,0
105,1,PAYMENT,1876.44,182,0,0,1,1876.44,0,0,1,1
106,1,CASH_OUT,28404.6,0,51744,0,35,200601.5726,218205.173,0,1,1
107,1,CASH_OUT,75405.1,0,104209,0,80,330883.1305,389827.0497,0,0,1
108,1,CASH_OUT,50101.88,0,67684,0,96,1351749.454,5031628.751,0,0,1
109,1,CASH_OUT,14121.82,0,52679,0,43,416399.1588,615000.9069,0,0,1
110,1,CASH_OUT,78292.91,0,121112,0,58,343235.1012,456896.1859,0,0,1
111,1,CASH_OUT,176149.9,0,259813,0,52,299780.48,539895.8769,0,0,1
112,1,CASH_OUT,212228.35,0,429747,0,42,207332.4024,150015.2212,0,0,1
