step,amount,oldbalanceOrig,oldbalanceDest,isFraud,trans_frequency_Dest,avg_trans_amount_Dest,variability_trans_amount_Dest,big_trans_flag,zero_new_balance_Dest_flag,zero_new_balance_Orig_flag,CASH_IN,CASH_OUT,DEBIT,TRANSFER
278,330218.42,20866.0,452419.57,0,4,223913.4625,113896.64691974514,0,0,0,1,0,0,0
15,11647.08,30370.0,0.0,0,1,11647.08,0.0,0,1,0,0,0,0,0
10,152264.21,106589.0,201303.01,0,25,293837.0748,255477.3826482733,0,0,0,1,0,0,0
403,1551760.63,0.0,3198359.45,0,16,540519.04625,811307.5936486655,1,0,1,0,0,0,1
206,78172.3,2921331.58,415821.9,0,6,207655.765,123749.72160084316,0,0,0,1,0,0,0
259,915.13,0.0,0.0,0,1,915.13,0.0,0,1,1,0,0,0,0
188,20603.87,0.0,558068.66,0,12,246426.49916666668,181701.8441297332,0,0,1,0,1,0,0
139,58605.72,0.0,585494.94,0,14,206980.39285714287,143486.98660912938,0,0,1,0,1,0,0
230,4865.11,0.0,0.0,0,1,4865.11,0.0,0,1,1,0,0,0,0
544,118131.63,0.0,8131691.35,0,28,377737.02357142855,455763.72695690446,0,0,1,0,1,0,0
45,141100.88,80506.0,89384.09,0,11,81248.6490909091,39769.47096523122,0,0,1,0,1,0,0
163,384177.48,40348.0,0.0,0,16,348712.340625,513709.1612072152,1,0,1,0,1,0,0
211,153486.36,20476.0,85173.16,0,11,160950.37636363634,99681.62175015124,0,0,1,0,1,0,0
302,51042.59,184.0,380143.14,0,15,101881.22466666666,67359.83621506034,0,0,1,0,1,0,0
18,48691.16,0.0,0.0,0,1,48691.16,0.0,0,1,1,0,0,0,0
322,36598.65,8240.66,0.0,0,1,36598.65,0.0,0,1,1,0,0,0,0
158,124443.29,14236.0,0.0,0,20,157394.8995,177902.26592725085,0,0,1,0,1,0,0
131,510190.97,57590.0,115914.88,0,14,168906.72714285713,135446.41079925105,1,0,1,0,1,0,0
253,940927.27,8568.0,0.0,0,6,430010.5433333334,441437.8280212619,1,0,1,0,0,0,1
132,240156.34,0.0,2811902.28,0,34,229366.5817647059,222091.6249027754,0,0,1,0,1,0,0
283,44360.26,0.0,282664.52,0,13,231849.7007692308,116207.1109375595,0,0,1,0,1,0,0
43,338458.24,30283.0,1055729.15,0,25,288837.5108,386938.01844887214,0,0,1,0,1,0,0
642,311748.24,4279.0,27843.39,0,6,310211.8733333333,187896.30303032068,0,1,0,1,0,0,0
164,151.58,10659.0,50706.33,0,6,101710.64166666666,82723.41429285241,0,0,0,0,0,1,0
326,26565.95,0.0,0.0,0,1,26565.95,0.0,0,1,1,0,0,0,0
132,6.57,0.0,2909681.35,0,33,299984.6051515152,371666.9792046312,0,0,1,0,1,0,0
37,23898.77,50271.0,205872.37,0,12,118038.04583333334,112940.03559480776,0,0,0,1,0,0,0
9,26360.78,365.0,202458.96,0,43,277295.918372093,363759.28273979714,0,0,1,0,1,0,0
157,192935.2,51937.0,171874.85,0,8,158249.36625,49352.17927848575,0,1,0,1,0,0,0
406,18801.43,126.0,0.0,0,2,19428.915,887.3977971856823,0,0,1,0,0,0,1
235,3516.08,0.0,0.0,0,1,3516.08,0.0,0,1,1,0,0,0,0
346,6987.8,0.0,0.0,0,1,6987.8,0.0,0,1,1,0,0,0,0
19,8808.73,50485.0,177448.43,0,11,98866.1609090909,67697.80993601646,0,0,0,1,0,0,0
208,24649.07,0.0,0.0,0,1,24649.07,0.0,0,1,1,0,0,0,0
332,97562.73,5396.0,2455585.33,0,17,173817.0588235294,158970.3964457052,0,0,1,0,1,0,0
139,598680.17,45059.0,2559233.0,0,27,315111.9885185185,345287.2278502576,1,0,1,0,0,0,1
304,218659.82,1005.0,16320325.66,0,18,325949.7555555555,520226.79039616016,0,0,1,0,1,0,0
686,304408.97,4276845.77,1443186.93,0,14,149470.11142857143,93837.26173465975,0,0,0,1,0,0,0
139,5090.28,50617.0,0.0,0,1,5090.28,0.0,0,1,0,0,0,0,0
226,176016.04,0.0,12916654.7,0,25,1012324.7904,2770999.0453424985,0,0,1,0,1,0,0
201,11605.7,0.0,0.0,0,1,11605.7,0.0,0,1,1,0,0,0,0
14,234850.43,669990.79,298639.42,0,30,206216.261,252633.1550164348,0,0,0,1,0,0,0
323,186549.79,0.0,242473.16,0,11,167031.12818181817,129265.14046846416,0,0,1,0,1,0,0
225,79042.15,6064.0,410360.71,0,17,143297.30647058823,110162.3934298065,0,0,1,0,1,0,0
138,5055.72,108809.83,0.0,0,1,5055.72,0.0,0,1,0,0,0,0,0
41,12020.77,639020.83,0.0,0,1,12020.77,0.0,0,1,0,0,0,0,0
399,123326.84,5477362.0,3470716.16,0,18,249489.0438888889,299035.28311074665,0,0,0,1,0,0,0
120,14241.21,109207.0,0.0,0,1,14241.21,0.0,0,1,0,0,0,0,0
373,23480.16,5309.0,0.0,0,1,23480.16,0.0,0,1,1,0,0,0,0
179,195205.19,1961856.75,1150566.93,0,22,161039.44136363638,123756.13320261688,0,0,0,1,0,0,0
544,145319.54,8056.0,696100.99,0,6,171941.99333333332,51548.82286918787,0,0,1,0,1,0,0
369,14270.03,3309.0,0.0,0,1,14270.03,0.0,0,1,1,0,0,0,0
275,6851.17,0.0,0.0,0,1,6851.17,0.0,0,1,1,0,0,0,0
396,296959.67,10609.0,0.0,0,1,296959.67,0.0,0,1,0,1,0,0,0
304,166630.9,10944.0,240525.0,0,5,198444.87,86007.12901277834,0,0,0,1,0,0,0
162,165135.41,187326.54,190273.97,0,5,120413.942,50132.42617218092,0,0,0,1,0,0,0
304,1704.03,0.0,0.0,0,1,1704.03,0.0,0,1,1,0,0,0,0
22,390903.09,7947520.93,707650.38,0,16,546426.9225,1464196.5646667525,1,0,0,1,0,0,0
229,21061.24,0.0,0.0,0,1,21061.24,0.0,0,1,1,0,0,0,0
259,8129.46,0.0,0.0,0,1,8129.46,0.0,0,1,1,0,0,0,0
234,6492.32,252978.2,0.0,0,1,6492.32,0.0,0,1,0,0,0,0,0
304,16242.22,0.0,1401840.75,0,15,189869.29866666667,185180.64193285524,0,0,1,0,1,0,0
352,286864.49,0.0,598674.63,0,4,279368.18,179655.42626398476,0,0,1,0,1,0,0
139,147351.57,6185044.14,7292368.53,0,14,179125.5557142857,121363.87206669954,0,0,0,1,0,0,0
229,21362.19,0.0,102800.19,0,7,142812.78285714285,97102.37259881975,0,0,1,0,0,0,1
186,16871.75,374693.53,0.0,0,1,16871.75,0.0,0,1,0,0,0,0,0
406,88826.43,249733.0,963113.59,0,8,172157.19125,158492.0791671176,0,0,0,0,1,0,0
469,38509.2,0.0,0.0,0,1,38509.2,0.0,0,1,1,0,0,0,0
399,7301.4,21426.0,0.0,0,1,7301.4,0.0,0,1,0,0,0,0,0
288,51907.16,48529.0,0.0,0,1,51907.16,0.0,0,1,1,0,0,0,0
204,343.06,0.0,0.0,0,1,343.06,0.0,0,1,1,0,0,0,0
232,24413.46,5088.0,0.0,0,6,126361.51166666669,131315.71685142544,0,0,1,0,1,0,0
192,125568.72,55360.0,0.0,0,7,116525.33142857142,87203.21330214031,0,0,1,0,1,0,0
13,203321.66,7707.02,223460.41,0,37,242640.96945945945,184862.40812069675,0,0,1,0,1,0,0
281,7452.27,254793.0,0.0,0,1,7452.27,0.0,0,1,0,0,0,0,0
379,117253.94,1527903.53,309923.06,0,9,167461.52333333332,105605.00391102736,0,0,0,1,0,0,0
159,16500.28,0.0,1039511.46,0,18,147883.17666666664,101764.03696852364,0,0,1,0,1,0,0
324,25380.11,0.0,0.0,0,1,25380.11,0.0,0,1,1,0,0,0,0
230,95623.45,95785.0,0.0,0,5,385308.1,739673.4112032697,0,0,0,0,1,0,0
405,122899.15,6017.0,227088.65,0,10,115563.826,83628.81774945951,0,0,0,1,0,0,0
380,255661.72,1148679.19,1991419.36,0,12,240079.535,215432.0342430734,0,0,0,1,0,0,0
307,124210.26,13648.0,637289.41,0,15,289122.12733333337,464872.7074591848,0,0,1,0,1,0,0
43,406390.63,0.0,596285.7,0,10,299377.622,337381.23148992576,1,0,1,0,0,0,1
404,12747.45,3027551.36,193795.69,0,8,89191.54875,68877.87535950454,0,0,0,1,0,0,0
36,17210.24,468747.37,0.0,0,1,17210.24,0.0,0,1,0,0,0,0,0
401,287548.26,6300194.15,1211290.25,0,21,236286.48428571428,133783.1031362613,0,0,0,1,0,0,0
259,326712.9,10763635.06,2415359.64,0,16,449197.92625,566014.8849391957,0,0,0,1,0,0,0
228,241.89,103317.6,0.0,0,1,241.89,0.0,0,1,0,0,0,0,0
236,5883.37,0.0,0.0,0,1,5883.37,0.0,0,1,1,0,0,0,0
297,13055.28,0.0,0.0,0,1,13055.28,0.0,0,1,1,0,0,0,0
12,616.88,107243.5,0.0,0,1,616.88,0.0,0,1,0,0,0,0,0
236,107759.5,0.0,1507711.83,0,15,325368.6346666666,530678.7147272634,0,0,1,0,1,0,0
253,18868.29,21137221.01,34831.61,0,8,153574.4175,152784.85132615227,0,0,0,1,0,0,0
13,4986.63,0.0,0.0,0,1,4986.63,0.0,0,1,1,0,0,0,0
36,17692.64,10268.0,0.0,0,1,17692.64,0.0,0,1,1,0,0,0,0
403,7457.89,0.0,0.0,0,1,7457.89,0.0,0,1,1,0,0,0,0
300,2262.52,49271.0,124780.0,0,6,120098.38666666666,150905.7503043154,0,0,0,0,0,1,0
564,67418.91,52181.0,1659195.46,0,9,260232.46,180870.1287133134,0,0,0,1,0,0,0
254,9414.76,5839.9,0.0,0,1,9414.76,0.0,0,1,1,0,0,0,0
206,17485.51,9339.0,0.0,0,1,17485.51,0.0,0,1,1,0,0,0,0
186,43115.41,8316334.88,2694031.18,0,25,250336.66,243107.0968656173,0,0,0,1,0,0,0
188,1408.77,99765.0,0.0,0,1,1408.77,0.0,0,1,0,0,0,0,0
181,251225.77,41290.0,5124625.51,0,30,269454.3956666667,291348.0186131148,0,0,1,0,1,0,0
186,329093.01,163894.0,163766.23,0,11,136523.9190909091,95871.36022765198,0,0,1,0,1,0,0
18,111900.86,38599.0,0.0,0,11,202972.13636363635,155724.46312520106,0,0,1,0,1,0,0
356,11348.41,9611.61,0.0,0,1,11348.41,0.0,0,1,1,0,0,0,0
203,2249.75,49824.0,0.0,0,1,2249.75,0.0,0,1,0,0,0,0,0
178,339983.69,150825.86,1797411.66,0,36,186593.0944444445,151047.2536103527,0,0,1,0,1,0,0
11,22006.91,187492.15,0.0,0,1,22006.91,0.0,0,1,0,0,0,0,0
255,16964.15,21330.0,0.0,0,1,16964.15,0.0,0,1,0,0,0,0,0
35,125132.6,292194.0,0.0,0,28,223769.10464285716,433213.99673493794,0,0,0,0,0,0,1
542,20450.59,0.0,739119.08,0,5,166345.274,185634.1629860146,0,0,1,0,1,0,0
35,124651.74,20960.0,467335.09,0,9,95034.78666666668,85907.14030891175,0,0,0,1,0,0,0
240,7443.29,311.0,0.0,0,1,7443.29,0.0,0,1,1,0,0,0,0
35,18520.37,37618.39,0.0,0,1,18520.37,0.0,0,1,0,0,0,0,0
325,240938.14,0.0,677911.3,0,8,159733.30125,132023.90176178873,0,0,1,0,1,0,0
8,5000.93,0.0,0.0,0,1,5000.93,0.0,0,1,1,0,0,0,0
403,1375.93,39672.19,0.0,0,1,1375.93,0.0,0,1,0,0,0,0,0
142,9387.6,101296.39,0.0,0,1,9387.6,0.0,0,1,0,0,0,0,0
203,304736.65,50526.0,46995.26,0,20,175598.6395,116408.8011973878,0,0,1,0,1,0,0
284,154063.93,7054719.28,388415.07,0,6,176519.30833333335,59784.576588849886,0,0,0,1,0,0,0
13,413032.46,3756.0,114764.69,0,19,235670.19263157892,232143.6051621036,1,1,0,1,0,0,0
189,290132.99,0.0,1772735.07,0,26,361370.405,491904.80685504014,0,0,1,0,1,0,0
328,1086782.27,0.0,4334991.17,0,26,270573.66346153844,280494.0759231044,1,0,1,0,0,0,1
187,258677.34,0.0,268608.27,0,7,157320.42142857143,122887.94749380909,0,0,1,0,1,0,0
335,680.96,244624.0,0.0,0,1,680.96,0.0,0,1,0,0,0,0,0
276,142803.7,3979275.72,314787.24,0,12,134188.7825,105283.07610843531,0,0,0,1,0,0,0
228,404013.26,0.0,2168976.25,0,14,302043.58,347464.16854322166,1,0,1,0,1,0,0
190,4192.45,141582.75,0.0,0,1,4192.45,0.0,0,1,0,0,0,0,0
38,6865.83,16065.0,0.0,0,1,6865.83,0.0,0,1,0,0,0,0,0
154,199096.88,0.0,403366.37,0,17,144202.9082352941,99317.34857618704,0,0,1,0,1,0,0
183,40105.0,44462.0,888624.22,0,9,150724.2711111111,116806.27221705717,0,0,0,1,0,0,0
404,29753.14,99613.0,0.0,0,1,29753.14,0.0,0,1,0,0,0,0,0
37,37005.75,0.0,145970.25,0,21,206020.8023809524,137068.53005446997,0,0,1,0,1,0,0
211,658510.65,0.0,4160208.26,0,20,321231.275,409654.0454150096,1,0,1,0,0,0,1
357,14962.54,99053.0,0.0,0,1,14962.54,0.0,0,1,0,0,0,0,0
205,115930.12,2700081.42,2082239.58,0,13,288185.3907692308,446568.2700736728,0,0,0,1,0,0,0
287,205453.92,0.0,1924157.61,0,29,482580.63655172416,748650.4864810676,0,0,1,0,1,0,0
163,8548.76,21358.0,0.0,0,1,8548.76,0.0,0,1,0,0,0,0,0
514,1958230.6,69563.0,5345774.9,0,13,561290.8,714761.3547558127,1,0,1,0,0,0,1
231,168377.94,0.0,1238581.58,0,13,206847.7607692308,106273.524875394,0,0,1,0,1,0,0
250,142011.88,253857.0,520248.21,0,13,207218.85307692303,146580.18800584736,0,0,0,1,0,0,0
297,7803.55,0.0,0.0,0,1,7803.55,0.0,0,1,1,0,0,0,0
378,261090.52,1906884.05,4584136.21,0,20,292451.0125,244520.6687582429,0,0,0,1,0,0,0
208,185642.4,43444.0,0.0,0,5,166516.048,97649.61098514793,0,0,1,0,1,0,0
349,22673.48,21910.0,0.0,0,1,22673.48,0.0,0,1,1,0,0,0,0
252,318180.66,400960.77,438344.43,0,11,195918.91909090907,205086.21429936867,0,0,0,0,1,0,0
161,1416.71,188315.86,0.0,0,1,1416.71,0.0,0,1,0,0,0,0,0
202,8941.05,160.0,0.0,0,1,8941.05,0.0,0,1,1,0,0,0,0
354,103884.78,9974.0,604986.43,0,13,290767.0992307692,203148.1970497284,0,0,1,0,1,0,0
163,1412.48,10052.0,0.0,0,1,1412.48,0.0,0,1,0,0,0,0,0
236,93940.35,29505.0,0.0,0,4,133042.685,34081.22903521184,0,1,0,1,0,0,0
333,15039.71,0.0,0.0,0,1,15039.71,0.0,0,1,1,0,0,0,0
380,10424.44,20809.0,0.0,0,1,10424.44,0.0,0,1,0,0,0,0,0
232,33530.31,4343409.73,80997.34,0,11,136447.19272727275,158458.63002358578,0,0,0,1,0,0,0
405,7328.72,0.0,0.0,0,1,7328.72,0.0,0,1,1,0,0,0,0
571,18593.97,5004065.66,61037.91,0,9,108864.06555555556,91641.5289176939,0,0,0,1,0,0,0
139,111540.89,533807.17,1998273.93,0,32,196394.775625,152136.3063642422,0,0,0,1,0,0,0
